Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2015-108966,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2015-108966,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
US-2017-156909,7/16/17,7/18/17,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
US-2015-164175,4/30/15,5/5/15,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
US-2014-147606,11/26/14,12/1/14,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
US-2017-119662,11/13/17,11/16/17,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
US-2017-109484,11/6/17,11/12/17,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
US-2015-156867,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
US-2015-136476,4/5/15,4/10/15,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
US-2014-152030,12/26/14,12/28/14,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
US-2014-134614,9/20/14,9/25/14,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
US-2017-107272,11/5/17,11/12/17,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
US-2017-107272,11/5/17,11/12/17,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
US-2016-125969,11/6/16,11/10/16,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
US-2016-125969,11/6/16,11/10/16,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
US-2017-164147,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
US-2017-164147,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364
US-2017-164147,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732
US-2014-100853,9/14/14,9/19/14,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12
US-2014-100853,9/14/14,9/19/14,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,OFF-LA-10003148,Office Supplies,Labels,Avery 51,20.16,4,0.2,6.552
